Category,Date,#Quarantine,#Released
Home Quarantine,20200318,1549,162
Home Quarantine,20200319,4247,327
Home Quarantine,20200320,9396,602
Home Quarantine,20200321,12792,1239
Home Quarantine,20200322,18782,3358
Home Quarantine,20200323,25886,4821
Home Quarantine,20200324,32121,8584
Home Quarantine,20200325,32353,11132
Home Quarantine,20200326,34428,14875
Home Quarantine,20200327,37779,19166
Home Quarantine,20200328,39870,23205
Home Quarantine,20200329,42652,27798
Home Quarantine,20200330,44449,32206
Home Quarantine,20200331,46356,36937
Home Quarantine,20200401,47809,42059
Home Quarantine,20200402,49213,45649
Home Quarantine,20200403,49760,48245
Home Quarantine,20200404,50217,51202
Home Quarantine,20200405,51328,54012
Home Quarantine,20200406,52037,56080
Home Quarantine,20200407,52643,57717
Home Quarantine,20200408,53380,58731
Home Quarantine,20200409,54717,59573
Home Quarantine,20200410,56770,60225
Home Quarantine,20200411,60615,60947
Home Quarantine,20200412,65340,61580
Home Quarantine,20200413,71024,62555
Home Quarantine,20200414,76107,63469
Home Quarantine,20200415,87335,64689
Home Quarantine,20200416,91834,65544
Home Quarantine,20200417,96810,66352
Home Quarantine,20200418,100451,70278
Home Quarantine,20200419,104343,71762
Home Quarantine,20200420,,
Home Quarantine,20200421,108511,73746
Home Quarantine,20200422,111751,76798
Home Quarantine,20200423,115180,80388
Home Quarantine,20200424,118308,85253
Facility Quarantine,20200318,78,0
Facility Quarantine,20200319,93,1
Facility Quarantine,20200320,102,1
Facility Quarantine,20200321,115,2
Facility Quarantine,20200322,136,3
Facility Quarantine,20200323,144,7
Facility Quarantine,20200324,151,14
Facility Quarantine,20200325,156,18
Facility Quarantine,20200326,180,29
Facility Quarantine,20200327,203,41
Facility Quarantine,20200328,211,65
Facility Quarantine,20200329,219,89
Facility Quarantine,20200330,226,109
Facility Quarantine,20200331,233,149
Facility Quarantine,20200401,239,157
Facility Quarantine,20200402,248,182
Facility Quarantine,20200403,253,190
Facility Quarantine,20200404,265,201
Facility Quarantine,20200405,274,206
Facility Quarantine,20200406,304,206
Facility Quarantine,20200407,336,221
Facility Quarantine,20200408,475,242
Facility Quarantine,20200409,624,256
Facility Quarantine,20200410,1045,264
Facility Quarantine,20200411,1490,270
Facility Quarantine,20200412,1710,307
Facility Quarantine,20200413,2194,377
Facility Quarantine,20200414,2623,502
Facility Quarantine,20200415,3165,547
Facility Quarantine,20200416,3880,617
Facility Quarantine,20200417,4670,671
Facility Quarantine,20200418,4844,771
Facility Quarantine,20200419,5323,861
Facility Quarantine,20200420,,
Facility Quarantine,20200421,6747,1069
Facility Quarantine,20200422,7074,1189
Facility Quarantine,20200423,7622,1440
Facility Quarantine,20200424,7990,1670
Total Quarantine,20200318,1557,162
Total Quarantine,20200319,4270,328
Total Quarantine,20200320,9428,603
Total Quarantine,20200321,12837,1241
Total Quarantine,20200322,18848,3361
Total Quarantine,20200323,25960,4828
Total Quarantine,20200324,32202,8598
Total Quarantine,20200325,32439,11150
Total Quarantine,20200326,34538,14904
Total Quarantine,20200327,37912,19207
Total Quarantine,20200328,40011,23270
Total Quarantine,20200329,42801,27887
Total Quarantine,20200330,44605,32315
Total Quarantine,20200331,46519,37086
Total Quarantine,20200401,47978,42216
Total Quarantine,20200402,49391,45831
Total Quarantine,20200403,49943,48435
Total Quarantine,20200404,50412,51403
Total Quarantine,20200405,51532,54218
Total Quarantine,20200406,52271,56286
Total Quarantine,20200407,52909,57938
Total Quarantine,20200408,53785,58973
Total Quarantine,20200409,55271,59829
Total Quarantine,20200410,57745,60489
Total Quarantine,20200411,62035,61217
Total Quarantine,20200412,66980,61887
Total Quarantine,20200413,73148,62932
Total Quarantine,20200414,78660,63971
Total Quarantine,20200415,90430,65236
Total Quarantine,20200416,95644,66161
Total Quarantine,20200417,101410,67023
Total Quarantine,20200418,105225,71049
Total Quarantine,20200419,109596,72623
Total Quarantine,20200420,,
Total Quarantine,20200421,115188,74815
Total Quarantine,20200422,118755,77987
Total Quarantine,20200423,122732,81828
Total Quarantine,20200424,126228,86923
